dataset,family,method,local_neighbors,n_neighbors,sigma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
variable_density,synthetic,fixed_global_knn,,12.0,0.1173569605680279,0.001983166000000036,92244,7520,0.828,0.6701062967388209,0.7294500961401023,0.832,0.5482654170000001,0.15466058300000007,0.7049091660000002,1.3084102278228593,
variable_density,synthetic,local_nth_dense,7.0,,,0.0050098749999998304,2000000,226078,0.976,0.9332537276498067,0.9067774093499883,0.976,0.0840969170000001,0.08464574999999996,0.1737525419999999,12.13018261468026,
variable_density,synthetic,local_mean_dense,7.0,,,0.006276832999999815,2000000,186242,0.978,0.9348551706298437,0.9065291184166032,0.978,0.05978675000000022,0.07596595799999983,0.14202954099999987,13.156312404842433,
digits_01,digits,fixed_global_knn,,3.0,2.590198568002508,0.009452374999999957,20596,1596,0.9972222222222222,0.988888814745925,0.9751786102885643,0.9972222222222222,0.01713016699999992,0.09578670799999989,0.12236924999999976,53.66300189902841,
digits_01,digits,local_nth_dense,7.0,,,0.02182683299999999,1036800,129240,1.0,1.0,1.0,1.0,0.0423324169999999,0.05395591600000005,0.11811516599999994,7.82233754004023,
digits_01,digits,local_mean_dense,7.0,,,0.013656499999999738,1036800,129240,1.0,1.0,1.0,1.0,0.026152042000000097,0.018894750000000293,0.05870329200000013,12.466617029792253,
digits_17,digits,fixed_global_knn,,3.0,2.661157884612633,0.002899166000000175,20720,1606,0.9944598337950139,0.9779007304596283,0.9504989401759416,0.9944598337950139,0.009998458000000099,0.06833420800000001,0.08123183200000028,16.447863766786647,
digits_17,digits,local_nth_dense,7.0,,,0.012172499999999697,1042568,129960,0.5706371191135734,0.019155331619377675,0.11303348885649928,0.5706371191135734,0.02567200000000014,0.04442316700000015,0.08226766699999999,5.975567098535391,
digits_17,digits,local_mean_dense,7.0,,,0.01937395800000008,1042568,129960,0.5706371191135734,0.019155331619377675,0.11303348885649928,0.5706371191135734,0.02530854199999988,0.03629245800000014,0.0809749580000001,1.5805839114105824,
digits_0136,digits,fixed_global_knn,,4.0,2.6366298567416844,0.008318500000000117,53804,4242,0.7776243093922652,0.6853260221469243,0.791736880828781,0.7776243093922652,0.027992874999999806,0.07863366700000007,0.114945042,32.30227310249098,
digits_0136,digits,local_nth_dense,7.0,,,0.09168166700000002,4193408,523452,0.8895027624309392,0.7538612473948603,0.7793676299896903,0.8895027624309392,0.22276870800000026,0.03906566599999994,0.3535160410000002,65.02654727235375,
digits_0136,digits,local_mean_dense,7.0,,,0.019248999999999405,4193408,523452,0.9171270718232044,0.8033373288902573,0.8112177986974148,0.9171270718232044,0.18657354199999965,0.1135622500000002,0.31938479199999925,72.46480201491003,
digits_all,digits,fixed_global_knn,,6.0,2.867845221386734,0.06379958399999985,191248,15338,0.7696160267111853,0.6800511633486981,0.832023720173138,0.7846410684474123,0.08384624999999968,0.1276798330000002,0.2753256669999997,61.43494584276137,
digits_all,digits,local_nth_dense,7.0,,,0.070190792,25833672,3227412,0.6227045075125208,0.5054363291969987,0.6332634382481179,0.6572064552031163,1.416724125,0.32680845799999947,1.8137233749999995,286.28397744243154,
digits_all,digits,local_mean_dense,7.0,,,0.04744174999999995,25833672,3227412,0.5909849749582637,0.45530513416516344,0.6040089847719952,0.5993322203672788,1.6283304580000006,0.3269080000000013,2.002680208000002,205.63547036111808,
two_moons,synthetic,fixed_global_knn,,12.0,0.061654845847189305,0.0033750409999999675,88812,7234,1.0,1.0,1.0,1.0,0.08074183399999946,0.01121854099999986,0.09533541599999928,3.148830500080022e-05,
two_moons,synthetic,local_nth_dense,7.0,,,0.00673895800000146,2000000,233962,1.0,1.0,1.0,1.0,0.08412866699999988,0.03864029200000019,0.12950791700000153,15.093772113099199,
two_moons,synthetic,local_mean_dense,7.0,,,0.0053274999999999295,2000000,194014,1.0,1.0,1.0,1.0,0.05449066700000138,0.03506970799999998,0.09488787500000129,4.868738438368048,
circles,synthetic,fixed_global_knn,,14.0,0.0668421678514025,0.002352207999999578,96492,7874,1.0,1.0,1.0,1.0,0.06807845800000045,0.033024375000000106,0.10345504100000014,2.20418760017306e-24,
circles,synthetic,local_nth_dense,7.0,,,0.004594958000000204,2000000,249494,1.0,1.0,1.0,1.0,0.05038320799999951,0.09067820799999993,0.14565637399999964,0.06303287261339358,
circles,synthetic,local_mean_dense,7.0,,,0.005600833999999111,2000000,240338,1.0,1.0,1.0,1.0,0.08314504199999995,0.09900724999999966,0.18775312599999872,0.006426048912932865,
blobs,synthetic,fixed_global_knn,,12.0,0.22334071415802437,0.0022660000000005454,109540,8928,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.02522100000000016,0.045946875000000276,0.07343387500000098,0.06863022015072881,
blobs,synthetic,local_nth_dense,7.0,,,0.005704624999999908,2880000,321786,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,0.1894606250000006,0.11778025000000092,0.31294550000000143,2.7650527289940676,
blobs,synthetic,local_mean_dense,7.0,,,0.00695266700000019,2880000,250734,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,0.10883049999999983,0.13149791600000071,0.24728108300000073,2.135579243676798,
