dataset,index,eigenvalue,k_true,gap_after_k,ari
moons,1,-4.064451242299173e-17,2,0.0010833601654855155,1.0
moons,2,5.720381721125152e-07,2,0.0010833601654855155,1.0
moons,3,0.001083932203657628,2,0.0010833601654855155,1.0
moons,4,0.0012445337746687967,2,0.0010833601654855155,1.0
moons,5,0.004577505307480145,2,0.0010833601654855155,1.0
moons,6,0.00487157163158874,2,0.0010833601654855155,1.0
moons,7,0.009783027782324578,2,0.0010833601654855155,1.0
moons,8,0.010219653241189161,2,0.0010833601654855155,1.0
moons,9,0.016755016780000145,2,0.0010833601654855155,1.0
moons,10,0.01713742874944455,2,0.0010833601654855155,1.0
moons,11,0.025835503206843573,2,0.0010833601654855155,1.0
moons,12,0.025868390500270535,2,0.0010833601654855155,1.0
circles,1,-1.5726649499915538e-16,2,0.0017392917434749964,1.0
circles,2,1.2304090599522165e-16,2,0.0017392917434749964,1.0
circles,3,0.0017392917434751194,2,0.0017392917434749964,1.0
circles,4,0.002099702422972574,2,0.0017392917434749964,1.0
circles,5,0.005872017390610732,2,0.0017392917434749964,1.0
circles,6,0.006603002611675243,2,0.0017392917434749964,1.0
circles,7,0.0068420737944162955,2,0.0017392917434749964,1.0
circles,8,0.008178770811560036,2,0.0017392917434749964,1.0
circles,9,0.014773473706817225,2,0.0017392917434749964,1.0
circles,10,0.020011655819513224,2,0.0017392917434749964,1.0
circles,11,0.02255352699065382,2,0.0017392917434749964,1.0
circles,12,0.026038642534033835,2,0.0017392917434749964,1.0
overlap,1,-1.6679708144352264e-16,3,0.004338791626035753,0.25740505813399045
overlap,2,0.005827379959632639,3,0.004338791626035753,0.25740505813399045
overlap,3,0.011911041861994705,3,0.004338791626035753,0.25740505813399045
overlap,4,0.016249833488030458,3,0.004338791626035753,0.25740505813399045
overlap,5,0.018325941252159555,3,0.004338791626035753,0.25740505813399045
overlap,6,0.020837622999908642,3,0.004338791626035753,0.25740505813399045
overlap,7,0.021971014759301473,3,0.004338791626035753,0.25740505813399045
overlap,8,0.023338849807954642,3,0.004338791626035753,0.25740505813399045
overlap,9,0.029639008073745043,3,0.004338791626035753,0.25740505813399045
overlap,10,0.03497738759040352,3,0.004338791626035753,0.25740505813399045
overlap,11,0.03629821240899087,3,0.004338791626035753,0.25740505813399045
overlap,12,0.04353558613989875,3,0.004338791626035753,0.25740505813399045
digits_0136,1,5.210743637820778e-17,4,0.0006910445154368914,0.7002691666620718
digits_0136,2,1.0373912907886034e-16,4,0.0006910445154368914,0.7002691666620718
digits_0136,3,1.119447061338491e-06,4,0.0006910445154368914,0.7002691666620718
digits_0136,4,0.0003613330683776675,4,0.0006910445154368914,0.7002691666620718
digits_0136,5,0.001052377583814559,4,0.0006910445154368914,0.7002691666620718
digits_0136,6,0.0024815354159233066,4,0.0006910445154368914,0.7002691666620718
digits_0136,7,0.010620543507766275,4,0.0006910445154368914,0.7002691666620718
digits_0136,8,0.01183492254290567,4,0.0006910445154368914,0.7002691666620718
digits_0136,9,0.04589670951132035,4,0.0006910445154368914,0.7002691666620718
digits_0136,10,0.047151282252870255,4,0.0006910445154368914,0.7002691666620718
digits_0136,11,0.0544449975557063,4,0.0006910445154368914,0.7002691666620718
digits_0136,12,0.055178928110459484,4,0.0006910445154368914,0.7002691666620718
sbm,1,-5.247411116146051e-16,3,0.3183863469370445,1.0
sbm,2,0.17004628530983767,3,0.3183863469370445,1.0
sbm,3,0.20514947577129306,3,0.3183863469370445,1.0
sbm,4,0.5235358227083375,3,0.3183863469370445,1.0
sbm,5,0.5262087567627904,3,0.3183863469370445,1.0
sbm,6,0.5413819243863741,3,0.3183863469370445,1.0
sbm,7,0.5497233469706055,3,0.3183863469370445,1.0
sbm,8,0.567352055039419,3,0.3183863469370445,1.0
sbm,9,0.5719761507340008,3,0.3183863469370445,1.0
sbm,10,0.5887963294454611,3,0.3183863469370445,1.0
sbm,11,0.6040042480097366,3,0.3183863469370445,1.0
sbm,12,0.6090996502860003,3,0.3183863469370445,1.0
