dataset,graph,accuracy,ari,nmi,purity
moons,knn_rbf,0.998,0.9919999681285151,0.981182940453905,0.998
moons,mutual_knn_rbf,0.998,0.9919999681285151,0.981182940453905,0.998
moons,dense_rbf,0.758,0.2647826420953368,0.20165493163321144,0.758
circles,knn_rbf,1.0,1.0,1.0,1.0
circles,mutual_knn_rbf,1.0,1.0,1.0,1.0
circles,dense_rbf,0.516,-0.0009787599075986905,0.0007403983249251856,0.516
digits_0136,knn_rbf,0.7803867403314917,0.6982116663407663,0.8174029112806998,0.7803867403314917
digits_0136,mutual_knn_rbf,0.468232044198895,0.24316227458551448,0.26712433356601,0.5165745856353591
digits_0136,dense_rbf,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696
