dataset,noise,n_neighbors,spectral_ari,kmeans_ari_at_same_noise
two_moons,0.02,3,0.07000563924249678,0.25251813622256886
two_moons,0.02,5,1.0,0.25251813622256886
two_moons,0.02,8,1.0,0.25251813622256886
two_moons,0.02,12,1.0,0.25251813622256886
two_moons,0.02,18,1.0,0.25251813622256886
two_moons,0.02,28,1.0,0.25251813622256886
two_moons,0.08,3,0.22893795510743833,0.24450207299571752
two_moons,0.08,5,1.0,0.24450207299571752
two_moons,0.08,8,1.0,0.24450207299571752
two_moons,0.08,12,1.0,0.24450207299571752
two_moons,0.08,18,1.0,0.24450207299571752
two_moons,0.08,28,1.0,0.24450207299571752
two_moons,0.14,3,0.01693822958095622,0.23661456109773565
two_moons,0.14,5,0.9760960971535391,0.23661456109773565
two_moons,0.14,8,0.9214426611426249,0.23661456109773565
two_moons,0.14,12,0.8168513175734288,0.23661456109773565
two_moons,0.14,18,0.6983046432431614,0.23661456109773565
two_moons,0.14,28,0.678346296158983,0.23661456109773565
two_moons,0.2,3,0.00019239700891914054,0.25252044170139215
two_moons,0.2,5,0.43986659378563264,0.25252044170139215
two_moons,0.2,8,0.4451659236331248,0.25252044170139215
two_moons,0.2,12,0.378219596520973,0.25252044170139215
two_moons,0.2,18,0.43446712090994305,0.25252044170139215
two_moons,0.2,28,0.4451128735572432,0.25252044170139215
two_moons,0.28,3,0.030352191948031914,0.24849515899557298
two_moons,0.28,5,0.3122217751361574,0.24849515899557298
two_moons,0.28,8,0.38316435087200734,0.24849515899557298
two_moons,0.28,12,0.33507108025662447,0.24849515899557298
two_moons,0.28,18,0.3350722765859524,0.24849515899557298
two_moons,0.28,28,0.3397369770779917,0.24849515899557298
two_moons,0.36,3,-6.336374590047627e-05,0.2606624564610498
two_moons,0.36,5,0.24450352937426892,0.2606624564610498
two_moons,0.36,8,0.2815861587637314,0.2606624564610498
two_moons,0.36,12,0.29017771528997793,0.2606624564610498
two_moons,0.36,18,0.29890081249909034,0.2606624564610498
two_moons,0.36,28,0.29890081249909034,0.2606624564610498
